hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
validTimeUTC,2023-05-07T22:00:00,2023-05-07T23:00:00,2023-05-08T00:00:00,2023-05-08T01:00:00,2023-05-08T02:00:00,2023-05-08T03:00:00,2023-05-08T04:00:00,2023-05-08T05:00:00,2023-05-08T06:00:00,2023-05-08T07:00:00,2023-05-08T08:00:00,2023-05-08T09:00:00,2023-05-08T10:00:00,2023-05-08T11:00:00,2023-05-08T12:00:00,2023-05-08T13:00:00,2023-05-08T14:00:00,2023-05-08T15:00:00,2023-05-08T16:00:00,2023-05-08T17:00:00,2023-05-08T18:00:00,2023-05-08T19:00:00,2023-05-08T20:00:00,2023-05-08T21:00:00,2023-05-08T22:00:00,2023-05-08T23:00:00,2023-05-09T00:00:00,2023-05-09T01:00:00,2023-05-09T02:00:00,2023-05-09T03:00:00,2023-05-09T04:00:00,2023-05-09T05:00:00,2023-05-09T06:00:00,2023-05-09T07:00:00,2023-05-09T08:00:00,2023-05-09T09:00:00,2023-05-09T10:00:00,2023-05-09T11:00:00
allAfterCut,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
point,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nearest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absMinimum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absMaximum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.007,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rangeMinimim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rangeMaximum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.003,0.003,0.0036,0.003,0.003,0.0048,0.006,0.0036,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rawPrecipRange,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012,0.0024,0.0024,0.0024,0.0036,0.0024,0.0024,0.0048,0.006,0.0036,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precipSlices,"{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.001, '5': 0.002, '6': 0.003}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.001, '5': 0.002, '6': 0.003}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.001, '5': 0.002, '6': 0.003}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.001, '5': 0.002, '6': 0.003}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.001, '5': 0.002, '6': 0.004}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.001, '5': 0.002, '6': 0.003}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.001, '5': 0.002, '6': 0.003}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.002, '5': 0.003, '6': 0.005}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.002, '5': 0.004, '6': 0.006}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.001, '5': 0.002, '6': 0.004}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.001, '5': 0.002, '6': 0.003}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}","{'0': 0.0, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, '6': 0.0}"
