lat/lon,39.2,-119.9
hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
validTimeUTC,2023-05-07T22:00:00,2023-05-07T23:00:00,2023-05-08T00:00:00,2023-05-08T01:00:00,2023-05-08T02:00:00,2023-05-08T03:00:00,2023-05-08T04:00:00,2023-05-08T05:00:00,2023-05-08T06:00:00,2023-05-08T07:00:00,2023-05-08T08:00:00,2023-05-08T09:00:00,2023-05-08T10:00:00,2023-05-08T11:00:00,2023-05-08T12:00:00,2023-05-08T13:00:00,2023-05-08T14:00:00,2023-05-08T15:00:00,2023-05-08T16:00:00,2023-05-08T17:00:00,2023-05-08T18:00:00,2023-05-08T19:00:00,2023-05-08T20:00:00,2023-05-08T21:00:00,2023-05-08T22:00:00,2023-05-08T23:00:00,2023-05-09T00:00:00,2023-05-09T01:00:00,2023-05-09T02:00:00,2023-05-09T03:00:00,2023-05-09T04:00:00,2023-05-09T05:00:00,2023-05-09T06:00:00,2023-05-09T07:00:00,2023-05-09T08:00:00,2023-05-09T09:00:00,2023-05-09T10:00:00,2023-05-09T11:00:00,2023-05-09T12:00:00,2023-05-09T13:00:00,2023-05-09T14:00:00
skyCover,55,55,60,60,60,57,57,57,23,23,23,21,21,21,52,52,52,49,49,49,35,35,35,29,29,29,31,31,31,44,44,44,64,64,64,78,78,78,67,67,67
conditionString,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
weather,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pop,5,5,2,2,2,1,1,1,1,1,1,2,2,2,5,5,5,10,10,10,11,11,11,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
precipMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
precipIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windDirectionDg,240,240,240,240,240,240,240,240,230,230,230,230,230,230,230,230,230,230,230,230,240,240,240,240,240,240,240,240,240,250,250,250,240,240,240,230,230,230,210,210,210
windSpeedKmh,24,24,35,35,35,33,33,33,37,37,37,46,46,46,54,54,54,61,61,61,59,59,59,61,61,61,59,59,59,44,44,44,15,15,15,9,9,9,19,19,19
windGustKmh,31,31,54,54,54,50,50,50,56,56,56,70,70,70,81,81,81,91,91,91,89,89,89,93,93,93,89,89,89,67,67,67,22,22,22,17,17,17,28,28,28
tempC,3.9,4.4,3.3,3.3,2.8,1.7,1.1,1.1,0,0,-0.6,-0.6,-0.6,-0.6,-1.1,-0.6,-0.6,0,0.6,1.7,1.7,2.8,2.8,2.8,2.8,3.9,2.8,2.8,2.2,0.6,0,-0.6,-1.1,-1.7,-1.7,-1.7,-2.2,-2.8,-2.8,-2.2,-1.7
appTempC,-0.6,0,-2.8,-2.8,-3.3,-4.4,-5.6,-5.6,-7.2,-7.2,-7.8,-8.9,-8.9,-8.9,-10,-8.9,-8.9,-8.9,-7.8,-6.7,-6.1,-5,-5,-5,-5,-3.3,-5,-5,-5.6,-6.7,-7.8,-8.3,-5.6,-6.1,-6.1,-5,-5.6,-6.1,-8.3,-8.3,-7.2
tempF,39,40,38,38,37,35,34,34,32,32,31,31,31,31,30,31,31,32,33,35,35,37,37,37,37,39,37,37,36,33,32,31,30,29,29,29,28,27,27,28,29
appTempF,31,32,27,27,26,24,22,22,19,19,18,16,16,16,14,16,16,16,18,20,21,23,23,23,23,26,23,23,22,20,18,17,22,21,21,23,22,21,17,17,19
solarAngle,55.05839860240883,44.39976284366691,32.98321942165362,21.37861780557156,9.923735184681348,0,0,0,0,0,0,0,0,0,0,0.21636064471491587,11.307336857986561,22.80407274226233,34.42044125098142,45.808446955599194,56.35710376570993,64.673263029112,67.86393526290374,63.92500581493774,55.24467960791201,44.559631038789654,33.132601823309066,21.528040488118172,10.080834243508244,0,0,0,0,0,0,0,0,0,0,0.4047763094000082,11.483307294404396
